"","Utility ID.x","Utility Name.x","Plant Code","Plant Name.x","State.x","County.x","Generator ID","Status","Technology","Prime Mover","Sector Name.x","Sector.x","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Number of Turbines","Predominant Turbine Manufacturer","Predominant Turbine Model Number","Design Wind Speed (mph)","Wind Quality Class","Turbine Hub Height (Feet)","Utility ID.y","Utility Name.y","Plant Name.y","Street Address","City","State.y","Zip","County.y","Latitude","Longitude","NERC Region","Balancing Authority Code","Balancing Authority Name","Name of Water Source","Primary Purpose (NAICS Code)","Regulatory Status","Sector.y","Sector Name.y","FERC Cogeneration Status","FERC Cogeneration Docket Number","FERC Small Power Producer Status","FERC Small Power Producer Docket Number","FERC Exempt Wholesale Generator Status","FERC Exempt Wholesale Generator Docket Number","Ash Impoundment?","Ash Impoundment Lined?","Ash Impoundment Status","Transmission or Distribution System Owner","Transmission or Distribution System Owner ID","Transmission or Distribution System Owner State","Grid Voltage (kV)","Grid Voltage 2 (kV)","Grid Voltage 3 (kV)","Energy Storage","Natural Gas LDC Name","Natural Gas Pipeline Name 1","Natural Gas Pipeline Name 2","Natural Gas Pipeline Name 3","Pipeline Notes","Natural Gas Storage","Liquefied Natural Gas Storage"
"1257",61042,"Cottonwood Wind Project",61407,"Cottonwood Wind Energy Center","NE","Webster","CTNWD","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,89.7,89.7,89.7,11,2017,40,"GE","2.3-107",19,2,295,61042,"Cottonwood Wind Project","Cottonwood Wind Energy Center","2045 Road 1800","Blue Hill","NE",68930,"Webster",40.240168,-98.405956,"MRO","SWPP","Southwest Power Pool",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"Nebraska Public Power District",13337,"NE",115,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1258",61054,"Fluvanna Wind Energy 2 LLC",61417,"Gopher Creek Wind Farm","TX","Borden","GCWF","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,158,158,158,9,2019,76,"Vestas","V110-2.0",19,2,262,61054,"Fluvanna Wind Energy 2 LLC","Gopher Creek Wind Farm","TBD","Fluvanna","TX",79517,"Borden",32.875073,-101.208955,"TRE","ERCO","Electric Reliability Council of Texas, Inc.",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"Oncor Electric Delivery Company LLC",44372,"TX",138,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1259",61070,"Foundation CA Fund IX Manager, LLC",61442,"Foundation California Training Facility","CA","Monterey","WTG1","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,1.8,1.8,1.8,8,2018,1,"GE","1.7-100",14.5,3,262,61070,"Foundation CA Fund IX Manager, LLC","Foundation California Training Facility","Highway 101 North","Soledad","CA",93960,"Monterey",36.464,-121.382,"WECC","CISO","California Independent System Operator",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","QF 18-3-000","N",NA,NA,NA,NA,"Pacific Gas & Electric Co",14328,"CA",4.16,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1260",61070,"Foundation CA Fund IX Manager, LLC",61443,"Foundation Mann Packing","CA","Monterey","WTG1","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,1.8,1.8,1.8,4,2019,1,"GE","1.7-100",14,3,262,61070,"Foundation CA Fund IX Manager, LLC","Foundation Mann Packing","49 Katherine Street","Gonzales","CA",93926,"Monterey",36.504,-121.454,"WECC","CISO","California Independent System Operator",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","QF 18-5-000","N",NA,NA,NA,NA,"Pacific Gas & Electric Co",14328,"CA",12,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1261",61070,"Foundation CA Fund IX Manager, LLC",61444,"Foundation SaIinas Valley State Prison","CA","Monterey","WTG1","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,1.8,1.8,1.8,8,2018,1,"GE","1.7-100",14.5,3,262,61070,"Foundation CA Fund IX Manager, LLC","Foundation SaIinas Valley State Prison","31625 Highway 101","Soledad","CA",93960,"Monterey",36.474,-121.371,"WECC","CISO","California Independent System Operator",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","QF 18-4-000","N",NA,NA,NA,NA,"Pacific Gas & Electric Co",14328,"CA",4.16,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1262",61149,"Fort Hays State University",61540,"Fort Hays State University Wind Farm","KS","Ellis","WIND1","OP","Onshore Wind Turbine","WT","Commercial Non-CHP",4,2,2,2,11,2013,1,"VESTAS","V100-2.0",18.6,2,262.5,61149,"Fort Hays State University","Fort Hays State University Wind Farm","1298 200th Avenue","Hays","KS",67601,"Ellis",38.874316,-99.405214,"MRO","SWPP","Southwest Power Pool",NA,611,"NR",4,"Commercial Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"Midwest Energy Inc",12524,"KS",35,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1263",61149,"Fort Hays State University",61540,"Fort Hays State University Wind Farm","KS","Ellis","WIND2","OP","Onshore Wind Turbine","WT","Commercial Non-CHP",4,2,2,2,11,2013,1,"VESTAS","V100-2.0",18.6,2,262.5,61149,"Fort Hays State University","Fort Hays State University Wind Farm","1298 200th Avenue","Hays","KS",67601,"Ellis",38.874316,-99.405214,"MRO","SWPP","Southwest Power Pool",NA,611,"NR",4,"Commercial Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"Midwest Energy Inc",12524,"KS",35,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1264",9417,"Interstate Power and Light Co",61564,"Upland Prairie","IA","Clay","1","OP","Onshore Wind Turbine","WT","Electric Utility",1,299.3,299.3,299.3,3,2019,121,"GE","2.5-116",17.7,2,291,9417,"Interstate Power and Light Co","Upland Prairie","2810 11th Ave SW","Spencer","IA",51301,"Clay",43.207406,-95.349397,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,NA,NA,NA,"MidAmerican Energy Co",12341,"IA",345,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1265",9417,"Interstate Power and Light Co",61565,"English Farms","IA","Poweshiek","1","OP","Onshore Wind Turbine","WT","Electric Utility",1,171.5,172.4,172.4,3,2019,69,"GE","2.5-127",17.2,2,286,9417,"Interstate Power and Light Co","English Farms","4983 190th St","Montezuma","IA",50171,"Poweshiek",41.57,-92.40718,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,NA,NA,NA,"MidAmerican Energy Co",12341,"IA",161,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"1266",2770,"Terra-Gen Operating Co-Wind",61582,"Voyager Wind II","CA","Kern","VYGR2","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,128.7,128.7,128.7,12,2018,36,"Vestas","V117-3.45",22,1,275,2770,"Terra-Gen Operating Co-Wind","Voyager Wind II","7021 Oak Creek Rd","Mojave","CA",93501,"Kern",35.073377,-118.268616,"WECC","CISO","California Independent System Operator",NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,NA,NA,NA,"Southern California Edison Co",17609,"CA",230,NA,NA,"N",NA,NA,NA,NA,NA,"X","X"
