"","Utility ID.x","Utility Name.x","Plant Code","Plant Name.x","State.x","County.x","Generator ID","Status","Technology","Prime Mover","Sector Name.x","Sector.x","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Lenses / Mirrors?","Single-Axis Tracking?","Dual-Axis Tracking?","Fixed Tilt?","East West Fixed Tilt?","Parabolic Trough?","Linear Fresnel?","Power Tower?","Dish Engine?","Other Solar Technology?","Azimuth Angle","Tilt Angle","DC Net Capacity (MW)","Crystalline Silicon?","Thin-Film (CdTe)?","Thin-Film (A-Si)?","Thin-Film (CIGS)?","Thin-Film (Other)?","Other Materials?","Net Metering Agreement?","Net Metering DC Capacity (MW)","Virtual Net Metering Agreement?","Virtual Net Metering DC Capacity (MW)","Utility ID.y","Utility Name.y","Plant Name.y","Street Address","City","State.y","Zip","County.y","Latitude","Longitude","NERC Region","Balancing Authority Code","Balancing Authority Name","Name of Water Source","Primary Purpose (NAICS Code)","Regulatory Status","Sector.y","Sector Name.y","FERC Cogeneration Status","FERC Cogeneration Docket Number","FERC Small Power Producer Status","FERC Small Power Producer Docket Number","FERC Exempt Wholesale Generator Status","FERC Exempt Wholesale Generator Docket Number","Ash Impoundment?","Ash Impoundment Lined?","Ash Impoundment Status","Transmission or Distribution System Owner","Transmission or Distribution System Owner ID","Transmission or Distribution System Owner State","Grid Voltage (kV)","Grid Voltage 2 (kV)","Grid Voltage 3 (kV)","Energy Storage","Natural Gas LDC Name","Natural Gas Pipeline Name 1","Natural Gas Pipeline Name 2","Natural Gas Pipeline Name 3","Pipeline Notes","Natural Gas Storage","Liquefied Natural Gas Storage"
"2242",60970,"SunShare Management",60695,"BentonSun LLC","MN","Carver","MLC17","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,12,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,25,1.4,"Y",NA,NA,NA,NA,NA,"N",NA,"Y",1.4,60970,"SunShare Management","BentonSun LLC","13185 Hwy 212","Norwood Young America","MN",55368,"Carver",44.766167,-93.857944,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-116-000, 17-117-000, 17-118-000, 17-119-000, 17-120-000","N",NA,NA,NA,NA,"Northern States Power Co - Minnesota",13781,"MN",34.5,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"2243",60970,"SunShare Management",60695,"BentonSun LLC","MN","Carver","MLC18","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,12,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,25,1.4,"Y",NA,NA,NA,NA,NA,"N",NA,"Y",1.4,60970,"SunShare Management","BentonSun LLC","13185 Hwy 212","Norwood Young America","MN",55368,"Carver",44.766167,-93.857944,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-116-000, 17-117-000, 17-118-000, 17-119-000, 17-120-000","N",NA,NA,NA,NA,"Northern States Power Co - Minnesota",13781,"MN",34.5,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"2244",60970,"SunShare Management",60695,"BentonSun LLC","MN","Carver","MLC19","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,12,2016,NA,"N",NA,"Y","N",NA,NA,NA,NA,NA,180,25,1.3,"Y",NA,NA,NA,NA,NA,"N",NA,"Y",1.3,60970,"SunShare Management","BentonSun LLC","13185 Hwy 212","Norwood Young America","MN",55368,"Carver",44.766167,-93.857944,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-116-000, 17-117-000, 17-118-000, 17-119-000, 17-120-000","N",NA,NA,NA,NA,"Northern States Power Co - Minnesota",13781,"MN",34.5,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"2245",60970,"SunShare Management",60695,"BentonSun LLC","MN","Carver","MLC20","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,12,2016,NA,"N",NA,"Y",NA,NA,NA,NA,NA,NA,180,25,1.4,"Y",NA,NA,NA,NA,NA,"N",NA,"Y",1.4,60970,"SunShare Management","BentonSun LLC","13185 Hwy 212","Norwood Young America","MN",55368,"Carver",44.766167,-93.857944,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-116-000, 17-117-000, 17-118-000, 17-119-000, 17-120-000","N",NA,NA,NA,NA,"Northern States Power Co - Minnesota",13781,"MN",34.5,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"2246",60970,"SunShare Management",60695,"BentonSun LLC","MN","Carver","MLC21","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,1,1,1,12,2016,NA,"N",NA,"Y",NA,NA,NA,NA,NA,NA,180,25,1.4,"Y",NA,NA,NA,NA,NA,"N",NA,"Y",1.4,60970,"SunShare Management","BentonSun LLC","13185 Hwy 212","Norwood Young America","MN",55368,"Carver",44.766167,-93.857944,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","17-116-000, 17-117-000, 17-118-000, 17-119-000, 17-120-000","N",NA,NA,NA,NA,"Northern States Power Co - Minnesota",13781,"MN",34.5,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA
"2247",60424,"Rincon Solar I, LLC",60702,"Rincon Solar I","GA","Effingham","PV1","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,18.4,17.4,17.8,12,2016,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,90,0,21.2,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,60424,"Rincon Solar I, LLC","Rincon Solar I","McCall Road and Low Ground Roa","Rincon","GA",31312,"Effingham",32.292879,-81.284401,"SERC","SOCO","Southern Company Services, Inc. - Trans",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","15-439-002","N",NA,"N","X",NA,"Georgia Power Co",7140,"GA",230,NA,NA,"N",NA,NA,NA,NA,NA,"X","X"
"2248",58822,"MC Power Companies Inc",60704,"Trenton Solar Farm (MO)","MO","Grundy","TSF1","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,2.8,2.8,2.8,11,2015,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,27,3.3,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,58822,"MC Power Companies Inc","Trenton Solar Farm (MO)","320 NW 10th Street","Trenton","MO",64683,"Grundy",40.1155,-93.6122,"SERC","SWPP","Southwest Power Pool",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","QF15-1022-000","N",NA,"N","X",NA,"Trenton Municipal Utilities - (MO)",19150,"MO",13.2,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
"2249",58822,"MC Power Companies Inc",60705,"Rolla Solar Farm (MO)","MO","Phelps","RSF1","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,2.8,2.8,2.8,5,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,25,3.2,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,58822,"MC Power Companies Inc","Rolla Solar Farm (MO)","2031 Brewer Drive","Rolla","MO",65401,"Phelps",37.9853,-91.7169,"SERC","SWPP","Southwest Power Pool",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","QF16-482-000","N",NA,"N","X",NA,"City of Rolla - (MO)",16259,"MO",12.47,NA,NA,"N",NA,NA,NA,NA,NA,"N",NA
"2250",58822,"MC Power Companies Inc",60706,"Waynesville Solar Farm (MO)","MO","Pulaski","WSF1","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,2.8,2.8,2.8,8,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,180,25,3.2,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,58822,"MC Power Companies Inc","Waynesville Solar Farm (MO)","24702 Royal Oak Lane","Waynesville","MO",65583,"Pulaski",37.8041,-92.2535,"SERC","SWPP","Southwest Power Pool",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","QF16-750-000","N",NA,"N","X",NA,"City of Waynesville - (MO)",20224,"MO",12.47,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
"2251",58822,"MC Power Companies Inc",60707,"Marshall Solar Farm (MO)","MO","Saline","MMSF1","OP","Solar Photovoltaic","PV","IPP Non-CHP",2,2.8,2.8,2.8,12,2016,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,185,25,3.2,"Y",NA,NA,NA,NA,NA,"N",NA,"N",NA,58822,"MC Power Companies Inc","Marshall Solar Farm (MO)","941 West Fairground Road","Marshall","MO",65340,"Saline",39.0948,-93.2104,"SERC","SWPP","Southwest Power Pool",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","QF-160-000","N",NA,"N","X",NA,"City of Marshall - (MO)",11732,"MO",13.2,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
